datoms,backend,mean,sd
1,PostgreSQL,33.494163424124515,14.411399736452156
1,In-Memory,0.5486381322957199,0.498599692836346
1,LevelDB,4.622568093385214,3.1674548049868436
1,File-based,38.474708171206224,13.964531746075822
2,PostgreSQL,19.007782101167315,18.127363826804437
2,In-Memory,0.06420233463035019,0.33519260970837816
2,LevelDB,4.492217898832685,7.671461354223083
2,File-based,20.311284046692606,16.36096596908734
4,PostgreSQL,9.992217898832685,18.60293900805335
4,In-Memory,0.04571984435797665,0.38732188073953494
4,LevelDB,2.97568093385214,11.172750069467497
4,File-based,11.994163424124514,22.23839760011975
8,PostgreSQL,6.169260700389105,21.43784422191904
8,In-Memory,0.05301556420233463,0.5821915358675335
8,LevelDB,2.1483463035019454,11.665761035815322
8,File-based,7.0729571984435795,31.55788650452207
16,PostgreSQL,3.317607003891051,28.678939630108246
16,In-Memory,0.03331712062256809,0.5152702249007419
16,LevelDB,1.546206225680934,22.672906211380106
16,File-based,4.748054474708171,43.06897406762038
32,PostgreSQL,2.040126459143969,33.39338588793162
32,In-Memory,0.02176556420233463,0.4606671802644102
32,LevelDB,1.102626459143969,15.960922077383607
32,File-based,2.9507538910505837,48.28944187899087
64,PostgreSQL,1.563533560311284,55.60827963189183
64,In-Memory,0.020792801556420232,0.47961230898098256
64,LevelDB,0.8981639105058365,20.16399281576739
64,File-based,2.154851653696498,78.47857345007459
128,PostgreSQL,1.414761673151751,75.33427956952107
128,In-Memory,0.018573686770428015,0.4936673390393994
128,LevelDB,0.8497689688715954,36.45381577533019
128,File-based,1.789761673151751,105.76445936967086
256,PostgreSQL,1.3823261186770428,79.10969479651445
256,In-Memory,0.01816330252918288,0.5744647314034684
256,LevelDB,0.8397069552529183,36.27955071520698
256,File-based,1.65058061770428,102.41382890827634
512,PostgreSQL,1.3201149075875487,100.08780070615273
512,In-Memory,0.018049306906614784,1.4073506825165398
512,LevelDB,0.9113114056420234,49.03092539596641
512,File-based,1.4696011673151752,93.03987700723488
1024,PostgreSQL,1.3006900535019454,166.32899625482074
1024,In-Memory,0.018155702821011675,1.7744950506622723
1024,LevelDB,0.9593225620136187,71.68268235196804
1024,File-based,1.362065296692607,137.138040008112
